DataSeries,2026Mar,2026Feb,2026Jan,2025Dec,2025Nov,2025Oct,2025Sep,2025Aug,2025Jul,2025Jun,2025May,2025Apr,2025Mar,2025Feb,2025Jan,2024Dec,2024Nov,2024Oct,2024Sep,2024Aug,2024Jul,2024Jun,2024May,2024Apr,2024Mar,2024Feb,2024Jan,2023Dec,2023Nov,2023Oct,2023Sep,2023Aug,2023Jul,2023Jun,2023May,2023Apr,2023Mar,2023Feb,2023Jan,2022Dec,2022Nov,2022Oct,2022Sep,2022Aug,2022Jul,2022Jun,2022May,2022Apr,2022Mar,2022Feb,2022Jan,2021Dec,2021Nov,2021Oct,2021Sep,2021Aug,2021Jul,2021Jun,2021May,2021Apr,2021Mar,2021Feb,2021Jan,2020Dec,2020Nov,2020Oct,2020Sep,2020Aug,2020Jul,2020Jun,2020May,2020Apr,2020Mar,2020Feb,2020Jan,2019Dec,2019Nov,2019Oct,2019Sep,2019Aug,2019Jul,2019Jun,2019May,2019Apr,2019Mar,2019Feb,2019Jan,2018Dec,2018Nov,2018Oct,2018Sep,2018Aug,2018Jul,2018Jun,2018May,2018Apr,2018Mar,2018Feb,2018Jan,2017Dec,2017Nov,2017Oct,2017Sep,2017Aug,2017Jul,2017Jun,2017May,2017Apr,2017Mar,2017Feb,2017Jan,2016Dec,2016Nov,2016Oct,2016Sep,2016Aug,2016Jul,2016Jun,2016May,2016Apr,2016Mar,2016Feb,2016Jan,2015Dec,2015Nov,2015Oct,2015Sep,2015Aug,2015Jul,2015Jun,2015May,2015Apr,2015Mar,2015Feb,2015Jan,2014Dec,2014Nov,2014Oct,2014Sep,2014Aug,2014Jul,2014Jun,2014May,2014Apr,2014Mar,2014Feb,2014Jan,2013Dec,2013Nov,2013Oct,2013Sep,2013Aug,2013Jul,2013Jun,2013May,2013Apr,2013Mar,2013Feb,2013Jan,2012Dec,2012Nov,2012Oct,2012Sep,2012Aug,2012Jul,2012Jun,2012May,2012Apr,2012Mar,2012Feb,2012Jan
Low Tension Supplies - Domestic,26.71,26.71,26.71,27.55,27.55,27.55,27.47,27.47,27.47,28.12,28.12,28.12,28.12,28.12,28.12,29.1,29.1,29.1,29.88,29.88,29.88,29.79,29.79,29.79,29.89,29.89,29.89,28.7,28.7,28.7,27.74,27.74,27.74,27.43,27.43,27.43,28.95,28.95,28.95,29.74,29.74,29.74,30.17,30.17,30.17,27.94,27.94,27.94,25.44,25.44,25.44,24.11,24.11,24.11,23.38,23.38,23.38,22.55,22.55,22.55,20.76,20.76,20.76,21.43,21.43,21.43,19.6,19.6,19.6,23.02,23.02,23.02,24.24,24.24,24.24,23.43,23.43,23.43,24.22,24.22,24.22,22.79,22.79,22.79,23.85,23.85,23.85,24.13,24.13,24.13,23.65,23.65,23.65,22.15,22.15,22.15,21.56,21.56,21.56,20.3,20.3,20.3,20.72,20.72,20.72,21.39,21.39,21.39,20.2,20.2,20.2,19.13,19.13,19.13,19.27,19.27,19.27,17.68,17.68,17.68,19.5,19.5,19.5,20.35,20.35,20.35,22.41,22.41,22.41,20.87,20.87,20.87,23.29,23.29,23.29,25.28,25.28,25.28,25.68,25.68,25.68,25.73,25.73,25.73,25.65,25.65,25.65,26.08,26.08,26.08,25.95,25.95,25.95,26.7,26.7,26.7,26.28,26.28,26.28,27.27,27.27,27.27,28.08,28.08,28.08,28.78,28.78,28.78,27.59,27.59,27.59
Low Tension Supplies - Non-Domestic,26.71,26.71,26.71,27.55,27.55,27.55,27.47,27.47,27.47,28.12,28.12,28.12,28.12,28.12,28.12,29.1,29.1,29.1,29.88,29.88,29.88,29.79,29.79,29.79,29.89,29.89,29.89,28.7,28.7,28.7,27.74,27.74,27.74,27.43,27.43,27.43,28.95,28.95,28.95,29.74,29.74,29.74,30.17,30.17,30.17,27.94,27.94,27.94,25.44,25.44,25.44,24.11,24.11,24.11,23.38,23.38,23.38,22.55,22.55,22.55,20.76,20.76,20.76,21.43,21.43,21.43,19.6,19.6,19.6,23.02,23.02,23.02,24.24,24.24,24.24,23.43,23.43,23.43,24.22,24.22,24.22,22.79,22.79,22.79,23.85,23.85,23.85,24.13,24.13,24.13,23.65,23.65,23.65,22.15,22.15,22.15,21.56,21.56,21.56,20.3,20.3,20.3,20.72,20.72,20.72,21.39,21.39,21.39,20.2,20.2,20.2,19.13,19.13,19.13,19.27,19.27,19.27,17.68,17.68,17.68,19.5,19.5,19.5,20.35,20.35,20.35,22.41,22.41,22.41,20.87,20.87,20.87,23.29,23.29,23.29,25.28,25.28,25.28,25.68,25.68,25.68,25.73,25.73,25.73,25.65,25.65,25.65,26.08,26.08,26.08,25.95,25.95,25.95,26.7,26.7,26.7,26.28,26.28,26.28,27.27,27.27,27.27,28.08,28.08,28.08,28.78,28.78,28.78,27.59,27.59,27.59
High Tension Small Supplies - Contracted Capacity Charge,15.07,15.07,15.07,15.07,15.07,15.07,15.07,15.07,15.07,15.07,15.07,15.07,16.37,16.37,16.37,16.37,16.37,16.37,16.37,16.37,16.37,16.37,16.37,16.37,15.12,15.12,15.12,14.25,14.25,14.25,13.44,13.44,13.44,12.67,12.67,12.67,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.15,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96
High Tension Small Supplies - Uncontracted Capacity Charge,22.61,22.61,22.61,22.61,22.61,22.61,22.61,22.61,22.61,22.61,22.61,22.61,24.56,24.56,24.56,24.56,24.56,24.56,24.56,24.56,24.56,24.56,24.56,24.56,22.68,22.68,22.68,21.38,21.38,21.38,20.16,20.16,20.16,19.01,19.01,19.01,17.93,17.93,17.93,17.93,17.93,17.93,17.93,17.93,17.93,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.23,12.23,12.23,12.23,12.23,12.23,12.23,12.23,12.23,12.23,12.23,12.23,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44
High Tension Small Supplies - Peak Period (7.00 AM To 11.00 PM),23.79,23.79,23.79,24.6,24.6,24.6,24.46,24.46,24.46,25.45,25.45,25.45,25.16,25.16,25.16,26.46,26.46,26.46,27.05,27.05,27.05,27.31,27.31,27.31,27.44,27.44,27.44,26.98,26.98,26.98,25.13,25.13,25.13,24.77,24.77,24.77,26.37,26.37,26.37,27.17,27.17,27.17,27.81,27.81,27.81,25.71,25.71,25.71,22.77,22.77,22.77,21.24,21.24,21.24,20.44,20.44,20.44,19.54,19.54,19.54,17.88,17.88,17.88,18.63,18.63,18.63,16.52,16.52,16.52,20.51,20.51,20.51,21.76,21.76,21.76,20.85,20.85,20.85,21.74,21.74,21.74,20.15,20.15,20.15,21.4,21.4,21.4,21.71,21.71,21.71,21.27,21.27,21.27,19.56,19.56,19.56,18.88,18.88,18.88,17.47,17.47,17.47,17.94,17.94,17.94,18.68,18.68,18.68,17.27,17.27,17.27,16.07,16.07,16.07,16.22,16.22,16.22,14.5,14.5,14.5,16.59,16.59,16.59,17.4,17.4,17.4,19.72,19.72,19.72,18.2,18.2,18.2,21.05,21.05,21.05,23.22,23.22,23.22,23.67,23.67,23.67,23.75,23.75,23.75,23.67,23.67,23.67,24.17,24.17,24.17,23.98,23.98,23.98,24.81,24.81,24.81,24.59,24.59,24.59,25.72,25.72,25.72,26.65,26.65,26.65,27.43,27.43,27.43,26.34,26.34,26.34
High Tension Small Supplies - Off-Peak Period (11.00 PM To 7.00 AM),15.11,15.11,15.11,16.03,16.03,16.03,16.07,16.07,16.07,15.95,15.95,15.95,15.9,15.9,15.9,16.16,16.16,16.16,17.38,17.38,17.38,16.49,16.49,16.49,16.92,16.92,16.92,13.98,13.98,13.98,15.15,15.15,15.15,14.96,14.96,14.96,15.92,15.92,15.92,16.69,16.69,16.69,16.49,16.49,16.49,14.54,14.54,14.54,13.77,13.77,13.77,13.01,13.01,13.01,12.51,12.51,12.51,11.85,11.85,11.85,11.2,11.2,11.2,11.67,11.67,11.67,10.55,10.55,10.55,12.5,12.5,12.5,13.28,13.28,13.28,12.71,12.71,12.71,13.26,13.26,13.26,12.28,12.28,12.28,13.09,13.09,13.09,13.27,13.27,13.27,12.65,12.65,12.65,11.77,11.77,11.77,11.37,11.37,11.37,10.55,10.55,10.55,10.84,10.84,10.84,11.3,11.3,11.3,10.51,10.51,10.51,9.84,9.84,9.84,9.93,9.93,9.93,8.78,8.78,8.78,10.08,10.08,10.08,11.04,11.04,11.04,12.29,12.29,12.29,10.72,10.72,10.72,12.71,12.71,12.71,14.19,14.19,14.19,14.4,14.4,14.4,14.35,14.35,14.35,14.45,14.45,14.45,14.65,14.65,14.65,14.71,14.71,14.71,15.22,15.22,15.22,15.24,15.24,15.24,15.83,15.83,15.83,16.27,16.27,16.27,16.71,16.71,16.71,16.17,16.17,16.17
High Tension Small Supplies - Reactive Power Charge,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59
High Tension Large Supplies - Contracted Capacity Charge,15.07,15.07,15.07,15.07,15.07,15.07,15.07,15.07,15.07,15.07,15.07,15.07,16.37,16.37,16.37,16.37,16.37,16.37,16.37,16.37,16.37,16.37,16.37,16.37,15.12,15.12,15.12,14.25,14.25,14.25,13.44,13.44,13.44,12.67,12.67,12.67,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.15,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96
High Tension Large Supplies - Uncontracted Capacity Charge,22.61,22.61,22.61,22.61,22.61,22.61,22.61,22.61,22.61,22.61,22.61,22.61,24.56,24.56,24.56,24.56,24.56,24.56,24.56,24.56,24.56,24.56,24.56,24.56,22.68,22.68,22.68,21.38,21.38,21.38,20.16,20.16,20.16,19.01,19.01,19.01,17.93,17.93,17.93,17.93,17.93,17.93,17.93,17.93,17.93,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.23,12.23,12.23,12.23,12.23,12.23,12.23,12.23,12.23,12.23,12.23,12.23,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44
High Tension Large Supplies - Peak Period (7.00 AM To 11.00 PM),23.57,23.57,23.57,24.38,24.38,24.38,24.24,24.24,24.24,25.23,25.23,25.23,24.94,24.94,24.94,26.24,26.24,26.24,26.83,26.83,26.83,27.09,27.09,27.09,27.22,27.22,27.22,26.76,26.76,26.76,24.91,24.91,24.91,24.55,24.55,24.55,26.15,26.15,26.15,26.95,26.95,26.95,27.59,27.59,27.59,25.49,25.49,25.49,22.55,22.55,22.55,21.02,21.02,21.02,20.22,20.22,20.22,19.32,19.32,19.32,17.66,17.66,17.66,18.41,18.41,18.41,16.3,16.3,16.3,20.29,20.29,20.29,21.54,21.54,21.54,20.63,20.63,20.63,21.52,21.52,21.52,19.93,19.93,19.93,21.18,21.18,21.18,21.49,21.49,21.49,21.05,21.05,21.05,19.34,19.34,19.34,18.66,18.66,18.66,17.25,17.25,17.25,17.72,17.72,17.72,18.46,18.46,18.46,17.05,17.05,17.05,15.85,15.85,15.85,16,16,16,14.28,14.28,14.28,16.37,16.37,16.37,17.18,17.18,17.18,19.5,19.5,19.5,17.98,17.98,17.98,20.83,20.83,20.83,23,23,23,23.45,23.45,23.45,23.53,23.53,23.53,23.45,23.45,23.45,23.95,23.95,23.95,23.76,23.76,23.76,24.59,24.59,24.59,24.37,24.37,24.37,25.5,25.5,25.5,26.43,26.43,26.43,27.21,27.21,27.21,26.12,26.12,26.12
High Tension Large Supplies - Off-Peak Period (11.00 PM To 7.00 AM),15.1,15.1,15.1,16.02,16.02,16.02,16.06,16.06,16.06,15.94,15.94,15.94,15.89,15.89,15.89,16.15,16.15,16.15,17.37,17.37,17.37,16.48,16.48,16.48,16.91,16.91,16.91,13.97,13.97,13.97,15.14,15.14,15.14,14.95,14.95,14.95,15.91,15.91,15.91,16.68,16.68,16.68,16.48,16.48,16.48,14.53,14.53,14.53,13.76,13.76,13.76,13,13,13,12.5,12.5,12.5,11.84,11.84,11.84,11.19,11.19,11.19,11.66,11.66,11.66,10.54,10.54,10.54,12.49,12.49,12.49,13.27,13.27,13.27,12.7,12.7,12.7,13.25,13.25,13.25,12.27,12.27,12.27,13.08,13.08,13.08,13.26,13.26,13.26,12.64,12.64,12.64,11.76,11.76,11.76,11.36,11.36,11.36,10.54,10.54,10.54,10.83,10.83,10.83,11.29,11.29,11.29,10.5,10.5,10.5,9.83,9.83,9.83,9.92,9.92,9.92,8.77,8.77,8.77,10.07,10.07,10.07,11.03,11.03,11.03,12.28,12.28,12.28,10.71,10.71,10.71,12.7,12.7,12.7,14.18,14.18,14.18,14.39,14.39,14.39,14.34,14.34,14.34,14.44,14.44,14.44,14.64,14.64,14.64,14.7,14.7,14.7,15.21,15.21,15.21,15.23,15.23,15.23,15.82,15.82,15.82,16.26,16.26,16.26,16.7,16.7,16.7,16.16,16.16,16.16
High Tension Large Supplies - Reactive Power Charge,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59
Extra High Tension Supplies - Contracted Capacity Charge,12.15,12.15,12.15,12.15,12.15,12.15,12.15,12.15,12.15,12.15,12.15,12.15,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.12,12.12,12.12,11.58,11.58,11.58,11.06,11.06,11.06,10.56,10.56,10.56,10.09,10.09,10.09,10.09,10.09,10.09,10.09,10.09,10.09,9.33,9.33,9.33,9.33,9.33,9.33,9.33,9.33,9.33,9.33,9.33,9.33,9.33,9.33,9.33,7.87,7.87,7.87,7.87,7.87,7.87,7.87,7.87,7.87,7.87,7.87,7.87,7.87,7.87,7.87,7.87,7.87,7.87,7.87,7.87,7.87,7.87,7.87,7.87,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.38,7.38,7.38,7.38,7.38,7.38,7.38,7.38,7.38,7.38,7.38,7.38,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52
Extra High Tension Supplies - Uncontracted Capacity Charge,18.23,18.23,18.23,18.23,18.23,18.23,18.23,18.23,18.23,18.23,18.23,18.23,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35,19.35,18.18,18.18,18.18,17.37,17.37,17.37,16.59,16.59,16.59,15.84,15.84,15.84,15.14,15.14,15.14,15.14,15.14,15.14,15.14,15.14,15.14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11.81,11.81,11.81,11.81,11.81,11.81,11.81,11.81,11.81,11.81,11.81,11.81,11.81,11.81,11.81,11.81,11.81,11.81,11.81,11.81,11.81,11.81,11.81,11.81,11.52,11.52,11.52,11.52,11.52,11.52,11.52,11.52,11.52,11.52,11.52,11.52,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.07,11.07,11.07,11.07,11.07,11.07,11.07,11.07,11.07,11.07,11.07,11.07,10.35,10.35,10.35,10.35,10.35,10.35,10.35,10.35,10.35,10.35,10.35,10.35,10.35,10.35,10.35,10.35,10.35,10.35,10.35,10.35,10.35,10.35,10.35,10.35,9.78,9.78,9.78,9.78,9.78,9.78,9.78,9.78,9.78,9.78,9.78,9.78,9.78,9.78,9.78
Extra High Tension Supplies - Peak Period (7.00 AM To 11.00 PM),22.66,22.66,22.66,23.47,23.47,23.47,23.34,23.34,23.34,24.3,24.3,24.3,24.01,24.01,24.01,25.28,25.28,25.28,25.88,25.88,25.88,26.11,26.11,26.11,26.25,26.25,26.25,25.71,25.71,25.71,23.96,23.96,23.96,23.61,23.61,23.61,25.16,25.16,25.16,25.96,25.96,25.96,26.57,26.57,26.57,24.48,24.48,24.48,21.61,21.61,21.61,20.11,20.11,20.11,19.31,19.31,19.31,18.42,18.42,18.42,16.81,16.81,16.81,17.54,17.54,17.54,15.47,15.47,15.47,19.39,19.39,19.39,20.62,20.62,20.62,19.72,19.72,19.72,20.6,20.6,20.6,19.03,19.03,19.03,20.26,20.26,20.26,20.57,20.57,20.57,20.12,20.12,20.12,18.44,18.44,18.44,17.77,17.77,17.77,16.38,16.38,16.38,16.84,16.84,16.84,17.57,17.57,17.57,16.18,16.18,16.18,15.01,15.01,15.01,15.16,15.16,15.16,13.45,13.45,13.45,15.52,15.52,15.52,16.33,16.33,16.33,18.62,18.62,18.62,17.1,17.1,17.1,19.91,19.91,19.91,22.06,22.06,22.06,22.5,22.5,22.5,22.58,22.58,22.58,22.5,22.5,22.5,22.99,22.99,22.99,22.81,22.81,22.81,23.63,23.63,23.63,23.43,23.43,23.43,24.54,24.54,24.54,25.46,25.46,25.46,26.23,26.23,26.23,25.2,25.2,25.2
Extra High Tension Supplies - Off-Peak Period (11.00 PM To 7.00 AM),15,15,15,15.93,15.93,15.93,15.97,15.97,15.97,15.84,15.84,15.84,15.79,15.79,15.79,16.05,16.05,16.05,17.27,17.27,17.27,16.38,16.38,16.38,16.8,16.8,16.8,13.85,13.85,13.85,15.04,15.04,15.04,14.85,14.85,14.85,15.79,15.79,15.79,16.56,16.56,16.56,16.35,16.35,16.35,14.4,14.4,14.4,13.65,13.65,13.65,12.9,12.9,12.9,12.4,12.4,12.4,11.74,11.74,11.74,11.11,11.11,11.11,11.57,11.57,11.57,10.46,10.46,10.46,12.39,12.39,12.39,13.16,13.16,13.16,12.6,12.6,12.6,13.15,13.15,13.15,12.17,12.17,12.17,12.97,12.97,12.97,13.15,13.15,13.15,12.54,12.54,12.54,11.66,11.66,11.66,11.26,11.26,11.26,10.45,10.45,10.45,10.74,10.74,10.74,11.19,11.19,11.19,10.41,10.41,10.41,9.74,9.74,9.74,9.83,9.83,9.83,8.69,8.69,8.69,9.99,9.99,9.99,10.94,10.94,10.94,12.18,12.18,12.18,10.62,10.62,10.62,12.6,12.6,12.6,14.08,14.08,14.08,14.28,14.28,14.28,14.23,14.23,14.23,14.34,14.34,14.34,14.54,14.54,14.54,14.59,14.59,14.59,15.11,15.11,15.11,15.13,15.13,15.13,15.72,15.72,15.72,16.16,16.16,16.16,16.59,16.59,16.59,16.08,16.08,16.08
Extra High Tension Supplies - Reactive Power Charge,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
